n	 C	 f	 U	 E	 L	 Q	 ρ	 R_Σ	 R_S	 R_L	 I
n	 C	 f	 U	 E	 L	 Q	 ρ	 R_Σ	 R_S	 R_L	 I
n	 C	 f	 U	 E	 L	 Q	 ρ	 R_Σ	 R_S	 R_L	 I
n	 C	 f	 U	 E	 L	 Q	 ρ	 R_Σ	 R_S	 R_L	 I
n	 C	 f	 U	 E	 L	 Q	 ρ	 R_Σ	 R_S	 R_L	 I
n	 C	 f	 U	 E	 L	 Q	 ρ	 R_Σ	 R_S	 R_L	 I
n	 C	 f	 U	 E	 L	 Q	 ρ	 R_Σ	 R_S	 R_L	 I
n	 C	 f	 U	 E	 L	 Q	 ρ	 R_Σ	 R_S	 R_L	 I
n	 C	 f	 U	 E	 L	 Q	 ρ	 R_Σ	 R_S	 R_L	 I
n	 C	 f	 U	 E	 L	 Q	 ρ	 R_Σ	 R_S	 R_L	 I
n	 C	 f	 U	 E	 L	 Q	 ρ	 R_Σ	 R_S	 R_L	 I
n	 C	 f	 U	 E	 L	 Q	 ρ	 R_Σ	 R_S	 R_L	 I
1	24.8	32.3	2.55	0.1002	979.00	56.77	198.69	7.20	0.20	3.50	3000.00
2	33.2	27.9	2.27	0.1001	980.15	49.09	171.82	7.17	0.17	3.50	3000.00
3	47.6	23.3	1.95	0.1	980.22	41.00	143.50	7.14	0.14	3.50	3000.00
4	57.5	21.2	1.8	0.1	980.17	37.30	130.56	7.13	0.13	3.50	3000.00
5	68.0	19.5	1.67	0.0999	979.63	34.29	120.03	7.12	0.12	3.50	3000.00
6	81.6	17.8	1.55	0.0998	979.74	31.31	109.57	7.11	0.11	3.50	3000.00
7	102.8	15.9	1.4	0.0998	974.66	27.82	97.37	7.10	0.10	3.50	3000.00
